{'Episode': 26, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -19.650000000000002, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9511818007111134, 'Loss': 0.005380062386393547, 'Goal_Reached': 0}
{'Episode': 27, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -20.35, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9492794371096911, 'Loss': 0.0056472402065992355, 'Goal_Reached': 0}
{'Episode': 28, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -21.1, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9473808782354717, 'Loss': 0.004586170893162489, 'Goal_Reached': 0}
{'Episode': 29, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -21.8, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9454861164790007, 'Loss': 0.009278134442865849, 'Goal_Reached': 0}
{'Episode': 30, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -22.55, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9435951442460427, 'Loss': 0.011918418109416962, 'Goal_Reached': 0}
{'Episode': 31, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -23.3, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9417079539575507, 'Loss': 0.010739540681242943, 'Goal_Reached': 0}
{'Episode': 32, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -24.05, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9398245380496356, 'Loss': 0.014028881676495075, 'Goal_Reached': 0}
{'Episode': 33, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -24.8, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9379448889735363, 'Loss': 0.016937993466854095, 'Goal_Reached': 0}
{'Episode': 34, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -25.55, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9360689991955893, 'Loss': 0.022398721426725388, 'Goal_Reached': 0}
{'Episode': 35, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -26.3, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9341968611971981, 'Loss': 0.027681659907102585, 'Goal_Reached': 0}
{'Episode': 36, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -27.05, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9323284674748037, 'Loss': 0.012037093751132488, 'Goal_Reached': 0}
{'Episode': 37, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -27.8, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.930463810539854, 'Loss': 0.02349293977022171, 'Goal_Reached': 0}
{'Episode': 38, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -28.5, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9286028829187744, 'Loss': 0.0381724089384079, 'Goal_Reached': 0}
{'Episode': 39, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -29.25, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9267456771529368, 'Loss': 0.00987365934997797, 'Goal_Reached': 0}
{'Episode': 40, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -30.0, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9248921857986309, 'Loss': 0.015501267276704311, 'Goal_Reached': 0}
{'Episode': 41, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -30.75, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9230424014270336, 'Loss': 0.05138056352734566, 'Goal_Reached': 0}
{'Episode': 42, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -31.5, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9211963166241796, 'Loss': 0.022505084052681923, 'Goal_Reached': 0}
{'Episode': 43, 'Steps': 4, 'Return': -0.5792192500000001, 'Episode_Reward': -0.6, 'Cumulative_Reward': -32.1, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9193539239909312, 'Loss': 0.025808241218328476, 'Goal_Reached': 0}
{'Episode': 44, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -32.800000000000004, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9175152161429493, 'Loss': 0.04387515038251877, 'Goal_Reached': 0}
{'Episode': 45, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -33.620000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9156801857106633, 'Loss': 0.003320605494081974, 'Goal_Reached': 0}
{'Episode': 46, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -34.370000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.913848825339242, 'Loss': 0.027192000299692154, 'Goal_Reached': 0}
