{'Episode': 1, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -0.75, 'Termination_Reason': 'wall_collision', 'Epsilon': 1.0, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 2, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -1.5, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.998, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 3, 'Steps': 4, 'Return': -0.7475192500000001, 'Episode_Reward': -0.77, 'Cumulative_Reward': -2.27, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.996004, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 4, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -3.02, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.994011992, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 5, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -3.67, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.992023968016, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 6, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -4.42, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.990039920079968, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 7, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -5.24, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9880598402398081, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 8, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -5.99, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9860837205593285, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 9, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -6.74, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9841115531182099, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 10, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -7.49, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9821433300119734, 'Loss': 0.10302223265171051, 'Goal_Reached': 0}
{'Episode': 11, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -8.24, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9801790433519495, 'Loss': 0.06694043427705765, 'Goal_Reached': 0}
{'Episode': 12, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -8.99, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9782186852652456, 'Loss': 0.05414813384413719, 'Goal_Reached': 0}
{'Episode': 13, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -9.74, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.976262247894715, 'Loss': 0.024741847068071365, 'Goal_Reached': 0}
{'Episode': 14, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -10.49, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9743097233989256, 'Loss': 0.002915864111855626, 'Goal_Reached': 0}
{'Episode': 15, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -11.19, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9723611039521278, 'Loss': 0.0245463028550148, 'Goal_Reached': 0}
{'Episode': 16, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -12.01, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9704163817442236, 'Loss': 0.0009494810365140438, 'Goal_Reached': 0}
{'Episode': 17, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -12.76, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9684755489807352, 'Loss': 0.005097309593111277, 'Goal_Reached': 0}
{'Episode': 18, 'Steps': 10, 'Return': -0.7297101887108699, 'Episode_Reward': -0.81, 'Cumulative_Reward': -13.57, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9665385978827737, 'Loss': 0.0097909364849329, 'Goal_Reached': 0}
{'Episode': 19, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -14.27, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9646055206870082, 'Loss': 0.018153445795178413, 'Goal_Reached': 0}
{'Episode': 20, 'Steps': 7, 'Return': -0.57681218075575, 'Episode_Reward': -0.62, 'Cumulative_Reward': -14.889999999999999, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9626763096456342, 'Loss': 0.0169157013297081, 'Goal_Reached': 0}
{'Episode': 21, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -15.54, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9607509570263429, 'Loss': 0.02225814014673233, 'Goal_Reached': 0}
{'Episode': 22, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -16.24, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9588294551122902, 'Loss': 0.02088538557291031, 'Goal_Reached': 0}
