{'Episode': 1, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -0.75, 'Termination_Reason': 'wall_collision', 'Epsilon': 1.0, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 2, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -1.45, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.998, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 3, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -2.2, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.996004, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 4, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -3.0200000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.994011992, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 5, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -3.7700000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.992023968016, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 6, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -4.5200000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.990039920079968, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 7, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -5.2700000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9880598402398081, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 8, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -6.0200000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9860837205593285, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 9, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -6.720000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9841115531182099, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 10, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -7.470000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9821433300119734, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 11, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -8.22, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9801790433519495, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 12, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -8.97, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9782186852652456, 'Loss': 0.0, 'Goal_Reached': 0}
{'Episode': 13, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -9.72, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.976262247894715, 'Loss': 0.09649647772312164, 'Goal_Reached': 0}
{'Episode': 14, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -10.47, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9743097233989256, 'Loss': 0.07507385313510895, 'Goal_Reached': 0}
{'Episode': 15, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -11.22, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9723611039521278, 'Loss': 0.05860911309719086, 'Goal_Reached': 0}
{'Episode': 16, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -11.97, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9704163817442236, 'Loss': 0.03317520022392273, 'Goal_Reached': 0}
{'Episode': 17, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -12.620000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9684755489807352, 'Loss': 0.02315925434231758, 'Goal_Reached': 0}
{'Episode': 18, 'Steps': 4, 'Return': -0.7458362500000001, 'Episode_Reward': -0.77, 'Cumulative_Reward': -13.39, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9665385978827737, 'Loss': 0.0026930072344839573, 'Goal_Reached': 0}
{'Episode': 19, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -14.09, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9646055206870082, 'Loss': 0.00414628628641367, 'Goal_Reached': 0}
{'Episode': 20, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -14.84, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9626763096456342, 'Loss': 0.004977243021130562, 'Goal_Reached': 0}
{'Episode': 21, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -15.59, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9607509570263429, 'Loss': 0.002847818424925208, 'Goal_Reached': 0}
{'Episode': 22, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -16.41, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9588294551122902, 'Loss': 0.001284966361708939, 'Goal_Reached': 0}
{'Episode': 23, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -17.16, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9569117962020657, 'Loss': 0.001135948346927762, 'Goal_Reached': 0}
{'Episode': 24, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -17.91, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9549979726096616, 'Loss': 0.0009646355756558478, 'Goal_Reached': 0}
{'Episode': 25, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -18.66, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9530879766644422, 'Loss': 0.0004640007682610303, 'Goal_Reached': 0}
{'Episode': 26, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -19.36, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9511818007111134, 'Loss': 0.00150032970122993, 'Goal_Reached': 0}
{'Episode': 27, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -20.11, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9492794371096911, 'Loss': 0.0012388566974550486, 'Goal_Reached': 0}
{'Episode': 28, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -20.759999999999998, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9473808782354717, 'Loss': 0.0012041423469781876, 'Goal_Reached': 0}
{'Episode': 29, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -21.409999999999997, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9454861164790007, 'Loss': 0.0021584690548479557, 'Goal_Reached': 0}
{'Episode': 30, 'Steps': 6, 'Return': -0.631494108625, 'Episode_Reward': -0.67, 'Cumulative_Reward': -22.08, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9435951442460427, 'Loss': 0.001892469241283834, 'Goal_Reached': 0}
{'Episode': 31, 'Steps': 4, 'Return': -0.7475192500000001, 'Episode_Reward': -0.77, 'Cumulative_Reward': -22.849999999999998, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9417079539575507, 'Loss': 0.0030542730819433928, 'Goal_Reached': 0}
{'Episode': 32, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -23.599999999999998, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9398245380496356, 'Loss': 0.0057446607388556, 'Goal_Reached': 0}
{'Episode': 33, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -24.349999999999998, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9379448889735363, 'Loss': 0.011480756103992462, 'Goal_Reached': 0}
{'Episode': 34, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -25.049999999999997, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9360689991955893, 'Loss': 0.013487489894032478, 'Goal_Reached': 0}
{'Episode': 35, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -25.749999999999996, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9341968611971981, 'Loss': 0.01627594605088234, 'Goal_Reached': 0}
{'Episode': 36, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -26.449999999999996, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9323284674748037, 'Loss': 0.018876012414693832, 'Goal_Reached': 0}
