Episode 1, Step 87, Action: 1, Reward: -1.50, Total Reward: -281.30
Episode 1, Step 88, Action: 3, Reward: -2.70, Total Reward: -286.60
Episode 1, Step 89, Action: 1, Reward: -1.50, Total Reward: -289.70
Episode 1, Step 90, Action: 0, Reward: -1.00, Total Reward: -293.30
Episode 1, Step 91, Action: 2, Reward: -1.00, Total Reward: -295.30
Episode 1, Step 92, Action: 1, Reward: -1.50, Total Reward: -297.80
Episode 1, Step 93, Action: 1, Reward: -1.40, Total Reward: -300.20
Episode 1, Step 94, Action: 0, Reward: -1.00, Total Reward: -302.50
Episode 1, Step 95, Action: 3, Reward: -2.50, Total Reward: -307.40
Episode 1, Step 96, Action: 1, Reward: -1.40, Total Reward: -309.80
Episode 1, Step 97, Action: 0, Reward: -1.00, Total Reward: -312.10
Episode 1, Step 98, Action: 2, Reward: -1.30, Total Reward: -315.80
Episode 1, Step 99, Action: 1, Reward: -1.30, Total Reward: -319.50
Episode 1, Step 100, Action: 0, Reward: -1.00, Total Reward: -321.50
Episode 1, Step 101, Action: 0, Reward: -1.00, Total Reward: -324.90
Episode 1, Step 102, Action: 2, Reward: -1.30, Total Reward: -327.20
Episode 1, Step 103, Action: 0, Reward: -2.40, Total Reward: -330.60
Episode 1, Step 104, Action: 1, Reward: -1.40, Total Reward: -334.50
Episode 1, Step 105, Action: 3, Reward: -2.40, Total Reward: -338.20
Episode 1, Step 106, Action: 3, Reward: -1.00, Total Reward: -340.50
Episode 1, Step 107, Action: 0, Reward: -2.40, Total Reward: -343.90
Episode 1, Step 108, Action: 2, Reward: -1.00, Total Reward: -347.40
Episode 1, Step 109, Action: 2, Reward: -1.00, Total Reward: -349.40
Episode 1, Step 110, Action: 2, Reward: -1.00, Total Reward: -351.40
Episode 1, Step 111, Action: 2, Reward: -1.00, Total Reward: -353.40
Episode 1, Step 112, Action: 0, Reward: -1.00, Total Reward: -357.00
Episode 1, Step 113, Action: 0, Reward: -1.00, Total Reward: -359.00
Episode 1, Step 114, Action: 3, Reward: -1.00, Total Reward: -362.70
Episode 1, Step 115, Action: 1, Reward: -1.00, Total Reward: -366.50
Episode 1, Step 116, Action: 2, Reward: -1.70, Total Reward: -369.20
Episode 1, Step 117, Action: 0, Reward: -1.00, Total Reward: -371.80
Episode 1, Step 118, Action: 1, Reward: -1.40, Total Reward: -374.70
Episode 1, Step 119, Action: 0, Reward: -1.00, Total Reward: -378.20
Episode 1, Step 120, Action: 0, Reward: -1.00, Total Reward: -381.80
Episode 1, Step 121, Action: 3, Reward: -2.70, Total Reward: -385.50
Episode 1, Step 122, Action: 0, Reward: -1.00, Total Reward: -388.10
Episode 1, Step 123, Action: 2, Reward: -1.00, Total Reward: -390.10
Episode 1, Step 124, Action: 3, Reward: -1.00, Total Reward: -393.80
Episode 1, Step 125, Action: 0, Reward: -1.00, Total Reward: -396.40
Episode 1, Step 126, Action: 3, Reward: -1.00, Total Reward: -400.10
Episode 1, Step 127, Action: 2, Reward: -1.00, Total Reward: -402.70
Episode 1, Step 128, Action: 2, Reward: -1.00, Total Reward: -405.20
Episode 1, Step 129, Action: 3, Reward: -2.60, Total Reward: -408.80
Episode 1, Step 130, Action: 2, Reward: -1.00, Total Reward: -410.80
Episode 1, Step 131, Action: 3, Reward: -2.60, Total Reward: -414.90
Episode 1, Step 132, Action: 3, Reward: -1.00, Total Reward: -418.60
