Episode 50/5000 - Steps: 1, Return: -0.75, Epsilon: 0.985405, Loss: 0.010, Reward: -0.75, Termination: wall_collision
Episode 51/5000 - Steps: 3, Return: -0.64, Epsilon: 0.985110, Loss: 0.039, Reward: -0.65, Termination: wall_collision
Episode 52/5000 - Steps: 1, Return: -0.75, Epsilon: 0.984814, Loss: 0.032, Reward: -0.75, Termination: wall_collision
Episode 53/5000 - Steps: 1, Return: -0.75, Epsilon: 0.984519, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 54/5000 - Steps: 1, Return: -0.75, Epsilon: 0.984223, Loss: 0.053, Reward: -0.75, Termination: wall_collision
Episode 55/5000 - Steps: 1, Return: -0.75, Epsilon: 0.983928, Loss: 0.063, Reward: -0.75, Termination: wall_collision
Episode 56/5000 - Steps: 1, Return: -0.75, Epsilon: 0.983633, Loss: 0.078, Reward: -0.75, Termination: wall_collision
Episode 57/5000 - Steps: 1, Return: -0.75, Epsilon: 0.983338, Loss: 0.009, Reward: -0.75, Termination: wall_collision
Episode 58/5000 - Steps: 2, Return: -0.69, Epsilon: 0.983043, Loss: 0.089, Reward: -0.70, Termination: wall_collision
Episode 59/5000 - Steps: 1, Return: -0.75, Epsilon: 0.982748, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 60/5000 - Steps: 1, Return: -0.75, Epsilon: 0.982453, Loss: 0.098, Reward: -0.75, Termination: wall_collision
Episode 61/5000 - Steps: 1, Return: -0.75, Epsilon: 0.982158, Loss: 0.024, Reward: -0.75, Termination: wall_collision
Episode 62/5000 - Steps: 1, Return: -0.75, Epsilon: 0.981864, Loss: 0.209, Reward: -0.75, Termination: wall_collision
Episode 63/5000 - Steps: 1, Return: -0.75, Epsilon: 0.981569, Loss: 0.132, Reward: -0.75, Termination: wall_collision
Episode 64/5000 - Steps: 1, Return: -0.75, Epsilon: 0.981275, Loss: 0.025, Reward: -0.75, Termination: wall_collision
Episode 65/5000 - Steps: 1, Return: -0.75, Epsilon: 0.980980, Loss: 0.071, Reward: -0.75, Termination: wall_collision
Episode 66/5000 - Steps: 1, Return: -0.75, Epsilon: 0.980686, Loss: 0.023, Reward: -0.75, Termination: wall_collision
Episode 67/5000 - Steps: 1, Return: -0.75, Epsilon: 0.980392, Loss: 0.196, Reward: -0.75, Termination: wall_collision
Episode 68/5000 - Steps: 5, Return: -0.52, Epsilon: 0.980098, Loss: 0.010, Reward: -0.55, Termination: wall_collision
Episode 69/5000 - Steps: 1, Return: -0.75, Epsilon: 0.979804, Loss: 0.004, Reward: -0.75, Termination: wall_collision
Episode 70/5000 - Steps: 1, Return: -0.75, Epsilon: 0.979510, Loss: 0.451, Reward: -0.75, Termination: wall_collision
Episode 71/5000 - Steps: 1, Return: -0.75, Epsilon: 0.979216, Loss: 0.441, Reward: -0.75, Termination: wall_collision
Episode 72/5000 - Steps: 1, Return: -0.75, Epsilon: 0.978922, Loss: 0.200, Reward: -0.75, Termination: wall_collision
Episode 73/5000 - Steps: 2, Return: -0.69, Epsilon: 0.978628, Loss: 0.055, Reward: -0.70, Termination: wall_collision
Episode 74/5000 - Steps: 2, Return: -0.69, Epsilon: 0.978335, Loss: 0.215, Reward: -0.70, Termination: wall_collision
Episode 75/5000 - Steps: 1, Return: -0.75, Epsilon: 0.978041, Loss: 0.023, Reward: -0.75, Termination: wall_collision
Episode 76/5000 - Steps: 2, Return: -0.69, Epsilon: 0.977748, Loss: 0.665, Reward: -0.70, Termination: wall_collision
Episode 77/5000 - Steps: 1, Return: -0.75, Epsilon: 0.977455, Loss: 0.022, Reward: -0.75, Termination: wall_collision
Episode 78/5000 - Steps: 1, Return: -0.75, Epsilon: 0.977161, Loss: 0.008, Reward: -0.75, Termination: wall_collision
Episode 79/5000 - Steps: 1, Return: -0.75, Epsilon: 0.976868, Loss: 0.093, Reward: -0.75, Termination: wall_collision
Episode 80/5000 - Steps: 1, Return: -0.75, Epsilon: 0.976575, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 81/5000 - Steps: 1, Return: -0.75, Epsilon: 0.976282, Loss: 0.068, Reward: -0.75, Termination: wall_collision
Episode 82/5000 - Steps: 1, Return: -0.75, Epsilon: 0.975989, Loss: 0.054, Reward: -0.75, Termination: wall_collision
Episode 83/5000 - Steps: 1, Return: -0.75, Epsilon: 0.975697, Loss: 0.096, Reward: -0.75, Termination: wall_collision
Episode 84/5000 - Steps: 1, Return: -0.75, Epsilon: 0.975404, Loss: 0.008, Reward: -0.75, Termination: wall_collision
Episode 85/5000 - Steps: 1, Return: -0.75, Epsilon: 0.975111, Loss: 0.042, Reward: -0.75, Termination: wall_collision
Episode 86/5000 - Steps: 1, Return: -0.75, Epsilon: 0.974819, Loss: 0.066, Reward: -0.75, Termination: wall_collision
Episode 87/5000 - Steps: 1, Return: -0.75, Epsilon: 0.974526, Loss: 0.039, Reward: -0.75, Termination: wall_collision
Episode 88/5000 - Steps: 1, Return: -0.75, Epsilon: 0.974234, Loss: 0.040, Reward: -0.75, Termination: wall_collision
Episode 89/5000 - Steps: 1, Return: -0.75, Epsilon: 0.973942, Loss: 0.063, Reward: -0.75, Termination: wall_collision
Episode 90/5000 - Steps: 3, Return: -0.64, Epsilon: 0.973649, Loss: 0.007, Reward: -0.65, Termination: wall_collision
Episode 91/5000 - Steps: 1, Return: -0.75, Epsilon: 0.973357, Loss: 0.093, Reward: -0.75, Termination: wall_collision
Episode 92/5000 - Steps: 1, Return: -0.75, Epsilon: 0.973065, Loss: 0.027, Reward: -0.75, Termination: wall_collision
Episode 93/5000 - Steps: 3, Return: -0.80, Epsilon: 0.972773, Loss: 0.004, Reward: -0.82, Termination: wall_collision
Episode 94/5000 - Steps: 1, Return: -0.75, Epsilon: 0.972482, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 95/5000 - Steps: 3, Return: -0.80, Epsilon: 0.972190, Loss: 0.043, Reward: -0.82, Termination: wall_collision
Episode 96/5000 - Steps: 3, Return: -0.64, Epsilon: 0.971898, Loss: 0.012, Reward: -0.65, Termination: wall_collision
Episode 97/5000 - Steps: 7, Return: -0.91, Epsilon: 0.971607, Loss: 0.024, Reward: -0.96, Termination: wall_collision
Episode 98/5000 - Steps: 1, Return: -0.75, Epsilon: 0.971315, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 99/5000 - Steps: 1, Return: -0.75, Epsilon: 0.971024, Loss: 0.012, Reward: -0.75, Termination: wall_collision
Episode 100/5000 - Steps: 3, Return: -0.80, Epsilon: 0.970732, Loss: 0.004, Reward: -0.82, Termination: wall_collision
Episode 101/5000 - Steps: 1, Return: -0.75, Epsilon: 0.970441, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 102/5000 - Steps: 1, Return: -0.75, Epsilon: 0.970150, Loss: 0.005, Reward: -0.75, Termination: wall_collision
Episode 103/5000 - Steps: 1, Return: -0.75, Epsilon: 0.969859, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 104/5000 - Steps: 1, Return: -0.75, Epsilon: 0.969568, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 105/5000 - Steps: 1, Return: -0.75, Epsilon: 0.969277, Loss: 0.009, Reward: -0.75, Termination: wall_collision
Episode 106/5000 - Steps: 1, Return: -0.75, Epsilon: 0.968986, Loss: 0.004, Reward: -0.75, Termination: wall_collision
Episode 107/5000 - Steps: 2, Return: -0.69, Epsilon: 0.968696, Loss: 0.004, Reward: -0.70, Termination: wall_collision
Episode 108/5000 - Steps: 3, Return: -0.80, Epsilon: 0.968405, Loss: 0.001, Reward: -0.82, Termination: wall_collision
Episode 109/5000 - Steps: 2, Return: -0.69, Epsilon: 0.968115, Loss: 0.003, Reward: -0.70, Termination: wall_collision
Episode 110/5000 - Steps: 1, Return: -0.75, Epsilon: 0.967824, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 111/5000 - Steps: 2, Return: -0.69, Epsilon: 0.967534, Loss: 0.031, Reward: -0.70, Termination: wall_collision
Episode 112/5000 - Steps: 2, Return: -0.69, Epsilon: 0.967244, Loss: 0.001, Reward: -0.70, Termination: wall_collision
Episode 113/5000 - Steps: 3, Return: -0.64, Epsilon: 0.966953, Loss: 0.002, Reward: -0.65, Termination: wall_collision
Episode 114/5000 - Steps: 5, Return: -0.52, Epsilon: 0.966663, Loss: 0.025, Reward: -0.55, Termination: wall_collision
